Student ID,Full Name,Gender,Class,State of Origin,Guardian Name,Guardian Phone
STU-001,Adaeze Okonkwo,Female,SS2,Lagos,Mrs. Ngozi Okonkwo,08031234567
STU-002,Emeka Chukwu,Male,SS2,Anambra,Mr. Paul Chukwu,08042345678
STU-003,Fatima Garba,Female,SS2,Kano,Mr. Garba Suleiman,07053456789
STU-004,Bola Adewale,Female,SS2,Ogun,Mrs. Adewale Yetunde,08064567890
STU-005,Musa Haruna,Male,SS2,Bauchi,Mr. Haruna Musa,07075678901
STU-006,Ngozi Eze,Female,SS2,Enugu,Mrs. Chioma Eze,08086789012
STU-007,Yusuf Ibrahim,Male,SS2,Kaduna,Mr. Ibrahim Yusuf,07097890123
STU-008,Blessing Ihejirika,Female,SS2,Rivers,Mrs. Peace Ihejirika,08008901234
STU-009,Tunde Oladipo,Male,SS2,Osun,Mr. Oladipo Festus,08019012345
STU-010,Ifeoma Obiora,Female,SS2,Anambra,Mrs. Chidinma Obiora,07020123456
STU-011,Zainab Musa,Female,SS2,Kano,Mr. Musa Abdullahi,08031234568
STU-012,Abiodun Adeleke,Male,SS2,Ekiti,Mr. Adeleke Biodun,08042345679
STU-013,Chibuzor Nwosu,Male,SS2,Imo,Mrs. Nwosu Chioma,07053456780
STU-014,Hadiza Garba,Female,SS2,Kano,Mrs. Garba Hauwa,08064567891
STU-015,Rotimi Bello,Male,SS2,Oyo,Mr. Bello Adebayo,07075678902
STU-016,Chioma Okeke,Female,SS2,Enugu,Mrs. Okeke Ada,08086789013
STU-017,Kingsley Nwosu,Male,SS2,Imo,Mr. Nwosu Charles,07097890124
STU-018,Halima Danjuma,Female,SS2,Bauchi,Mr. Danjuma Umar,08008901235
STU-019,Kemi Adekunle,Female,SS2,Ogun,Mrs. Adekunle Folake,08019012346
STU-020,Chukwuemeka Obi,Male,SS2,Anambra,Mr. Obi Vincent,07020123457
